1503510449718_EMG.csv,fork,EMG,25323,
1503510449718_IMU.csv,fork,IMU,12353,
1503510449718_video_info.csv,spoon,EMG,16783,
1503510449718_IMU.csv,spoon,IMU,34576,
1503510449718.csv,fork,gT,28,
1503510957301.csv,spoon,gT,40,
1503512024740_IMU.csv,fork,IMU,24297,
1503512024740_EMG.csv,fork,EMG,49934,
1503512024740_IMU.csv,spoon,IMU,23050,
1503512024740_video_info.csv,spoon,EMG,47450,
1503512024740.csv,fork,gT,37,
1503512621910.csv,spoon,gT,44,
1503513662628_EMG.csv,fork,EMG,28509,
1503513662628_IMU.csv,fork,IMU,13854,
1503513662628_EMG.csv,spoon,EMG,22892,
1503513662628_IMU.csv,spoon,IMU,11131,
1503513662628.csv,fork,gT,40,
1503514028875.csv,spoon,gT,40,
1503515171349_EMG.csv,fork,EMG,37980,
1503515171349_IMU.csv,fork,IMU,18526,
1503515171349_video_info.csv,spoon,EMG,14051,
1503515171349_IMU.csv,spoon,IMU,28894,
1503515171349.csv,fork,gT,40,
1503515701951.csv.bak,spoon,gT,40,
1503523593605_EMG.csv,fork,EMG,16507,
1503523593605_IMU.csv,fork,IMU,8018,
1503523593605_EMG.csv,spoon,EMG,8863,
1503523593605_video_info.csv,spoon,EMG,18195,
1503523593605.csv,fork,gT,28,
1503523878205.csv,spoon,gT,29,
1503525230880_IMU.csv,fork,IMU,9018,
1503525230880_EMG.csv,fork,EMG,18578,
1503525230880_IMU.csv,spoon,IMU,14990,
1503525230880_EMG.csv,spoon,EMG,7305,
1503525230880.csv,fork,gT,40,
1503525025300.csv,spoon,gT,40,
1503600471339_IMU.csv,fork,IMU,19366,
1503600471339_EMG.csv,fork,EMG,39810,
1503600471339_IMU.csv,spoon,IMU,44883,
1503600471339_EMG.csv,spoon,EMG,21860,
1503600471339.csv,fork,gT,40,
1503599958929.csv,spoon,gT,40,
1503601791851_EMG.csv,fork,EMG,37320,
1503601791851_IMU.csv,fork,IMU,18144,
1503601791851_EMG.csv,spoon,EMG,34219,
1503601791851_IMU.csv,spoon,IMU,16605,
1503601791851.csv,fork,gT,40,
1503602222616.csv,spoon,gT,40,
1503604387983_EMG.csv,fork,EMG,20403,
1503604387983_IMU.csv,fork,IMU,9944,
1503604387983_EMG.csv,spoon,EMG,10583,
1503604387983_IMU.csv,spoon,IMU,21635,
1503604387983.csv,fork,gT,40,
1503604109480.csv,spoon,gT,40,
1503610324174_EMG.csv,fork,EMG,26626,
1503610324174_IMU.csv,fork,IMU,12949,
1503610324174_EMG.csv,spoon,EMG,11671,
1503610324174_IMU.csv,spoon,IMU,23912,
1503610324174.csv,fork,gT,40,
1503609551913.csv,spoon,gT,40,
1503612761276_EMG.csv,fork,EMG,27458,
1503612761276_IMU.csv,fork,IMU,13366,
1503612761276_EMG.csv,spoon,EMG,12402,
1503612761276_IMU.csv,spoon,IMU,25359,
1503612761276.csv,fork,gT,40,
1503612421077.csv,spoon,gT,40,
1503614529248_IMU.csv,fork,IMU,9639,
1503614529248_EMG.csv,fork,EMG,19840,
1503614529248_IMU.csv,spoon,IMU,10371,
1503614529248_EMG.csv,spoon,EMG,21176,
1503614529248.csv,fork,gT,40,
1503614249214.csv,spoon,gT,40,
1503616371604_IMU.csv,fork,IMU,13770,
